Nutrient,Unit,Daily Value,,,,,
Vitamin A,g,0.0009,,,,,
Vitamin C,g,0.09,,,,,
Calcium,g,1.3,,,,,
Iron,g,0.018,,,,,
Vitamin D,g,0.00002,,,,,
Vitamin E,g,0.000015,,,,,
Vitamin K,g,0.00012,,,,,
Thiamin,g,0.0012,,,,,
Riboflavin,g,0.0013,,,,,
Niacin,g,0.016,,,,,
Vitamin B6,g,0.0017,,,,,
Folate,g,0.0004,,,,,
Vitamin B12,g,0.0000024,,,,,
Biotin,g,0.00003,,,,,
Pantothenic acid,g,0.005,,,,,
Phosphorus,g,1.25,,,,,
Iodine,g,0.00015,,,,,
Magnesium,g,0.42,,,,,
Zinc,g,0.011,,,,,
Selenium,g,0.000055,,,,,
Copper,g,0.0009,,,,,
Manganese,g,0.0023,,,,,
Chromium,g,0.000035,,,,,
Molybdenum,g,0.000045,,,,,
Chloride,g,2.3,,,,,
Potassium,g,4.7,,,,,
Choline,g,0.55,,,,,
